des,diameter,fullname,h,id,ip,last_obs,last_obs_jd,n_imp,ps_cum,ps_max,range,ts_max,v_inf
2008 KT,0.0077,(2008 KT),28.22,bK08K00T,1.467651e-05,2008-06-02,2454619.5,26,-6.87,-7.44,2091-2121,0,2.98095404833983
2021 AH,0.0069,(2021 AH),28.46,bK21A00H,3.67759e-06,2021-01-03,2459217.5,12,-6.46,-6.52,2043-2108,0,21.4508836221547
2019 SC,0.012,(2019 SC),27.22,bK19S00C,6.083e-06,2019-09-20,2458746.5,1,-5.93,-5.93,2051-2051,0,14.26
2020 LV,0.03,(2020 LV),25.27,bK20L00V,5.51801e-06,2020-06-23,2459023.5,6,-5.83,-5.89,2109-2122,0,4.48542880494961
2022 WE7,0.0086,(2022 WE7),27.98,bK22W07E,7.82841e-07,2022-11-27,2459910.5,12,-7.60,-8.22,2080-2122,0,16.7395625037524
2013 TP4,0.011,(2013 TP4),27.52,bK13T04P,3.526e-05,2013-10-12,2456577.5,1,-3.60,-3.60,2026-2026,0,25.30
2016 XL23,0.0048,(2016 XL23),29.26,bK16X23L,6.09712e-05,2016-12-02,2457724.5,3,-6.37,-6.37,2080-2098,0,9.94939623953604
2017 AA21,0.02,(2017 AA21),26.11,bK17A21A,2.202873e-07,2017-01-04,2457757.5,11,-7.31,-7.78,2042-2119,0,6.9051636340361
2017 DP109,0.014,(2017 DP109),26.89,bK17DA9P,2.984346e-06,2017-03-02,2457814.5,7,-6.60,-6.92,2057-2122,0,12.407535191965
2011 SE58,0.01,(2011 SE58),27.63,bK11S58E,5.8988e-07,2011-09-27,2455831.5,3,-7.13,-7.28,2042-2055,0,15.6886682037024
2020 PW2,0.0061,(2020 PW2),28.73,bK20P02W,2.480593e-07,2020-08-18,2459079.5,10,-8.55,-9.06,2073-2100,0,10.6091076851382
2021 TN14,0.0068,(2021 TN14),28.49,bK21T14N,6.68258e-07,2021-10-16,2459503.5,8,-8.17,-8.38,2099-2121,0,10.7200517614454
2022 UN,0.16,(2022 UN),21.61,bK22U00N,1.0083e-07,2022-11-23,2459906.5,2,-5.41,-5.47,2123-2123,0,20.7213537637608
2018 JL1,0.015,(2018 JL1),26.73,bK18J01L,5.83135e-06,2018-05-16,2458254.5,6,-6.49,-6.69,2112-2122,0,6.16583641866806
2020 CK2,0.0048,(2020 CK2),29.26,bK20C02K,3.6866279e-05,2020-03-05,2458913.5,114,-6.82,-7.73,2062-2122,0,5.18527990660517
2023 ES1,0.0092,(2023 ES1),27.83,bK23E01S,4.109767e-05,2023-03-19,2460022.5,9,-5.68,-5.76,2047-2122,0,7.78921827928444
2020 CW,0.0011,(2020 CW),32.51,bK20C00W,2.2318e-06,2020-02-01,2458880.5,3,-8.67,-8.77,2046-2057,0,20.0841087911103
2020 RE4,0.00888,(2020 RE4),27.91,bK20R04E,2.751441e-07,2020-09-15,2459107.5,21,-8.05,-8.73,2090-2122,0,17.8074095210473
2022 YR4,0.0061,(2022 YR4),28.71,bK22Y04R,1.8305254e-05,2022-12-26,2459939.5,30,-6.77,-7.28,2068-2121,0,7.55497598121282
2022 RB2,0.011,(2022 RB2),27.50,bK22R02B,3.709e-08,2022-09-22,2459844.5,1,-8.54,-8.54,2068-2068,0,12.89
2020 DF2,0.019,(2020 DF2),26.21,bK20D02F,6.867e-10,2020-02-29,2458908.5,1,-9.91,-9.91,2117-2117,0,15.11
2020 MP1,0.021,(2020 MP1),26.06,bK20M01P,3.0102e-06,2020-06-25,2459025.5,2,-6.36,-6.45,2105-2105,0,7.82810577370274
2021 RS5,0.0073,(2021 RS5),28.34,bK21R05S,4.76384e-06,2021-10-07,2459494.5,27,-7.27,-7.75,2065-2121,0,7.67004222434003
2017 SA21,0.0073,(2017 SA21),28.32,bK17S21A,8.1482e-08,2017-10-01,2458027.5,3,-8.60,-8.69,2056-2081,0,10.0414867087209
2017 SU17,0.0084,(2017 SU17),28.03,bK17S17U,2.99515142e-05,2017-10-01,2458027.5,59,-6.24,-6.76,2055-2119,0,8.31754169470337
2018 EB4,0.028,(2018 EB4),25.40,bK18E04B,1.06725e-06,2018-03-16,2458193.5,2,-6.30,-6.31,2099-2103,0,13.0919910986179
2019 CZ1,0.048,(2019 CZ1),24.26,bK19C01Z,2.257e-08,2019-02-12,2458526.5,1,-7.26,-7.26,2115-2115,0,22.01
2019 VC37,0.0038,(2019 VC37),29.73,bK19V37C,2.673712e-05,2019-11-04,2458791.5,38,-7.23,-7.69,2082-2121,0,5.67123712426769
2008 TS10,0.006,(2008 TS10),28.76,bK08T10S,5.92437514e-05,2008-10-22,2454761.5,84,-6.42,-7.33,2068-2122,0,3.17559878654139
2020 CO2,0.016,(2020 CO2),26.66,bK20C02O,3.6065618e-05,2020-02-19,2458898.5,39,-5.16,-5.38,2048-2118,0,15.775917879738
2020 HV5,0.024,(2020 HV5),25.78,bK20H05V,1.949e-07,2020-04-27,2458966.5,1,-7.26,-7.26,2091-2091,0,10.19
2002 UV36,0.016,(2002 UV36),26.67,bK02U36V,6.805e-06,2002-11-14,2452592.5,1,-6.18,-6.18,2087-2087,0,8.06
2007 KE4,0.031,(2007 KE4),25.21,bK07K04E,1.961721e-05,2007-05-26,2454246.5,3,-3.88,-3.89,2029-2096,0,10.0649726184305
2007 VE8,0.028,(2007 VE8),25.44,bK07V08E,2.101e-05,2007-11-16,2454420.5,1,-4.85,-4.85,2062-2062,0,9.05
2008 EX5,0.059,(2008 EX5),23.81,bK08E05X,5.32149764e-05,2008-04-06,2454562.5,28,-3.77,-4.04,2056-2093,0,9.91972872057874
2016 NL39,0.01,(2016 NL39),27.57,bK16N39L,0.0002845893852,2016-08-10,2457610.5,323,-5.10,-5.89,2055-2122,0,3.93757816992536
2015 VN64,0.01,(2015 VN64),27.54,bK15V64N,8.63742e-07,2015-11-13,2457339.5,5,-7.27,-7.52,2086-2088,0,15.8584015828801
2015 SG,0.018,(2015 SG),26.43,bK15S00G,7.14585e-06,2015-10-15,2457310.5,2,-6.16,-6.16,2104-2105,0,7.8993451443845
2015 VP64,0.0074,(2015 VP64),28.31,bK15V64P,3.371205e-06,2015-11-09,2457335.5,5,-6.90,-6.91,2069-2108,0,20.9595667216915
2016 DK1,0.011,(2016 DK1),27.39,bK16D01K,0.0003031205723,2016-03-16,2457463.5,121,-4.63,-5.03,2043-2122,0,6.87319178095257
